,ID,Table,Person,Arrival,Duration,Tentative Departure,Departure,Indicator,Neighbors
108,108,G,5,2019-01-01 19:42:05.024111,96.71375957765648,2019-01-01 21:10:00.320088,2019-01-01 21:18:47.849686,1,"[(8, 138)]"
109,109,R,2,2019-01-01 19:56:51.323471,81.08906692423854,2019-01-01 21:10:34.363485,2019-01-01 21:17:56.667486,1,"[(4, 141), (6, 187)]"
110,110,Q,5,2019-01-01 20:08:08.124367,68.76592530657733,2019-01-01 21:10:38.993020,2019-01-01 21:16:54.079885,1,"[(6, 118), (3, 132)]"
111,111,H,7,2019-01-01 20:11:34.269657,65.53531310830249,2019-01-01 21:11:08.923099,2019-01-01 21:17:06.388443,1,"[(1, 194)]"
112,112,I1,4,2019-01-01 20:21:26.560524,55.60919998102678,2019-01-01 21:11:59.789614,2019-01-01 21:17:03.112523,1,"[(2, 120), (8, 155)]"
113,113,P,8,2019-01-01 20:35:59.769741,40.29186486508913,2019-01-01 21:12:37.507825,2019-01-01 21:16:17.281633,1,"[(3, 158), (2, 160), (6, 167)]"
114,114,N1,5,2019-01-01 20:05:34.834282,74.06760521416015,2019-01-01 21:12:54.885475,2019-01-01 21:19:38.890595,1,"[(3, 152), (6, 185), (4, 196)]"
115,115,L1,5,2019-01-01 20:17:04.843030,56.149036443572086,2019-01-01 21:13:13.785217,2019-01-01 21:13:13.785217,0,[]
116,116,K1,1,2019-01-01 20:10:49.615615,69.05607990767011,2019-01-01 21:13:36.310883,2019-01-01 21:19:52.980409,1,"[(7, 124), (2, 164)]"
117,117,A,2,2019-01-01 19:47:31.956092,94.82329748156072,2019-01-01 21:13:44.135955,2019-01-01 21:22:21.353941,1,"[(5, 126), (7, 172), (1, 175)]"
118,118,Q,6,2019-01-01 20:22:14.293024,57.77232863505792,2019-01-01 21:14:45.510950,2019-01-01 21:20:00.632742,1,"[(5, 110), (6, 118), (3, 132)]"
119,119,O,6,2019-01-01 20:22:44.455564,52.514909833162996,2019-01-01 21:15:15.350154,2019-01-01 21:15:15.350154,0,[]
120,120,I1,2,2019-01-01 20:14:47.996665,66.5842564666822,2019-01-01 21:15:19.865200,2019-01-01 21:21:23.052053,1,"[(4, 112), (2, 120), (8, 155)]"
121,121,F1,4,2019-01-01 20:29:23.571419,50.74443162327515,2019-01-01 21:15:31.449508,2019-01-01 21:20:08.237316,1,"[(2, 148), (3, 168)]"
122,122,F,7,2019-01-01 20:30:24.559979,49.99902832610949,2019-01-01 21:15:51.779706,2019-01-01 21:20:24.501679,1,"[(8, 181)]"
123,123,B1,2,2019-01-01 20:21:41.875237,59.63942542592037,2019-01-01 21:15:54.934806,2019-01-01 21:21:20.240763,1,"[(4, 143), (8, 179)]"
124,124,K1,7,2019-01-01 20:16:24.656777,65.96712097213978,2019-01-01 21:16:22.863375,2019-01-01 21:22:22.684035,1,"[(1, 116), (7, 124), (2, 164)]"
125,125,Z,1,2019-01-01 20:22:16.665747,59.8809569475956,2019-01-01 21:16:42.899762,2019-01-01 21:22:09.523164,1,"[(3, 149), (6, 174)]"
126,126,A,5,2019-01-01 19:55:35.418396,89.55959742108004,2019-01-01 21:17:00.487346,2019-01-01 21:25:08.994241,1,"[(2, 117), (5, 126), (7, 172), (1, 175)]"
127,127,I,1,2019-01-01 20:02:25.087773,75.11681407548002,2019-01-01 21:17:32.096618,2019-01-01 21:17:32.096618,0,[]
128,128,M1,2,2019-01-01 20:16:33.358091,68.09268745730863,2019-01-01 21:18:27.504680,2019-01-01 21:24:38.919338,1,"[(3, 153), (8, 169), (7, 183), (6, 193)]"
129,129,Y,6,2019-01-01 20:13:29.822076,71.49344958068792,2019-01-01 21:18:29.464780,2019-01-01 21:24:59.429051,1,"[(5, 188), (8, 195), (3, 198)]"
130,130,C1,5,2019-01-01 20:10:42.999718,74.71775050711965,2019-01-01 21:18:38.513382,2019-01-01 21:25:26.064748,1,"[(7, 184)]"
131,131,K,7,2019-01-01 20:33:09.368526,51.05333795431037,2019-01-01 21:19:34.096051,2019-01-01 21:24:12.568803,1,"[(8, 133), (3, 166)]"
132,132,Q,3,2019-01-01 19:59:00.304330,89.00210349066383,2019-01-01 21:19:54.964520,2019-01-01 21:28:00.430539,1,"[(6, 118), (3, 132)]"
133,133,K,8,2019-01-01 20:23:20.294572,63.50576401583554,2019-01-01 21:21:04.245337,2019-01-01 21:26:50.640413,1,"[(7, 131), (8, 133), (3, 166)]"
134,134,J1,2,2019-01-01 20:24:15.498728,62.702195388698634,2019-01-01 21:21:15.618476,2019-01-01 21:26:57.630451,1,"[(1, 147), (3, 165)]"
135,135,L,4,2019-01-01 20:23:52.198160,63.841645181121464,2019-01-01 21:21:54.469715,2019-01-01 21:27:42.696871,1,"[(1, 140), (6, 180)]"
136,136,J,1,2019-01-01 20:17:39.057064,71.27456923834609,2019-01-01 21:22:26.760841,2019-01-01 21:28:55.531218,1,"[(3, 163)]"
137,137,T,7,2019-01-01 20:31:21.104277,52.44746162637645,2019-01-01 21:23:47.951975,2019-01-01 21:23:47.951975,0,[]
138,138,G,8,2019-01-01 20:27:36.493025,56.37108075631913,2019-01-01 21:23:58.757870,2019-01-01 21:23:58.757870,0,[]
139,139,V,3,2019-01-01 20:26:12.015496,63.65212945254055,2019-01-01 21:24:03.949830,2019-01-01 21:29:51.143263,1,"[(7, 146), (4, 161), (2, 177)]"
140,140,L,1,2019-01-01 20:20:22.451818,70.3211481213231,2019-01-01 21:24:18.150806,2019-01-01 21:30:41.720705,1,"[(4, 135), (1, 140), (6, 180)]"
141,141,R,4,2019-01-01 20:13:57.787031,77.81015193697607,2019-01-01 21:24:41.977137,2019-01-01 21:31:46.396147,1,"[(6, 187)]"
142,142,B,3,2019-01-01 19:57:21.731411,96.34278628747585,2019-01-01 21:24:56.792481,2019-01-01 21:33:42.298588,1,"[(5, 151)]"
143,143,B1,4,2019-01-01 20:45:41.193030,46.527367639339225,2019-01-01 21:27:59.049447,2019-01-01 21:32:12.835088,1,"[(8, 179)]"
144,144,N,7,2019-01-01 20:35:54.512100,52.94070687173801,2019-01-01 21:28:50.954512,2019-01-01 21:28:50.954512,0,[]
145,145,D,2,2019-01-01 20:17:38.970124,78.77089461320732,2019-01-01 21:29:15.564376,2019-01-01 21:36:25.223801,1,"[(5, 199)]"
146,146,V,7,2019-01-01 20:45:15.962342,48.879117237128206,2019-01-01 21:29:42.096009,2019-01-01 21:34:08.709376,1,"[(3, 139), (7, 146), (4, 161), (2, 177)]"
147,147,J1,1,2019-01-01 20:37:25.219105,57.79962841563678,2019-01-01 21:29:57.926109,2019-01-01 21:35:13.196810,1,"[(3, 165)]"
148,148,F1,2,2019-01-01 20:28:20.409517,68.4395503641055,2019-01-01 21:30:33.475900,2019-01-01 21:36:46.782539,1,"[(3, 168)]"
149,149,Z,3,2019-01-01 20:23:00.795943,74.38712437483431,2019-01-01 21:30:38.275454,2019-01-01 21:37:24.023405,1,"[(6, 174)]"
150,150,E1,7,2019-01-01 20:35:09.960035,61.60773891312628,2019-01-01 21:31:10.382158,2019-01-01 21:36:46.424370,1,"[(6, 156), (8, 173)]"
151,151,B,5,2019-01-01 20:41:53.596094,54.35989374500228,2019-01-01 21:31:18.681207,2019-01-01 21:36:15.189719,1,"[(3, 142), (5, 151)]"
152,152,N1,3,2019-01-01 19:55:40.844095,105.49825297603357,2019-01-01 21:31:35.294257,2019-01-01 21:41:10.739274,1,"[(6, 185), (4, 196)]"
153,153,M1,3,2019-01-01 20:32:09.060715,66.15021857205011,2019-01-01 21:32:17.254455,2019-01-01 21:38:18.073829,1,"[(8, 169), (7, 183), (6, 193)]"
154,154,A1,8,2019-01-01 20:50:26.474749,46.65646801501375,2019-01-01 21:32:51.373004,2019-01-01 21:37:05.862830,1,"[(5, 162), (2, 191)]"
155,155,I1,8,2019-01-01 20:39:00.300813,54.36473523008113,2019-01-01 21:33:22.184927,2019-01-01 21:33:22.184927,0,[]
156,156,E1,6,2019-01-01 20:57:34.523379,39.874370759293285,2019-01-01 21:33:49.489057,2019-01-01 21:37:26.985625,1,"[(7, 150), (6, 156), (8, 173)]"
157,157,G1,3,2019-01-01 20:46:53.997734,47.05814939186777,2019-01-01 21:33:57.486698,2019-01-01 21:33:57.486698,0,[]
158,158,P,3,2019-01-01 20:49:21.972219,49.87692308408466,2019-01-01 21:34:42.531660,2019-01-01 21:39:14.587604,1,"[(2, 160), (6, 167)]"
159,159,X,5,2019-01-01 20:23:29.528511,71.35370174883762,2019-01-01 21:34:50.750616,2019-01-01 21:34:50.750616,0,[]
